"PopID","Year","Total"
"Butte Creek",1970,285
"Butte Creek",1971,470
"Butte Creek",1972,150
"Butte Creek",1973,300
"Butte Creek",1974,150
"Butte Creek",1975,650
"Butte Creek",1976,46
"Butte Creek",1977,100
"Butte Creek",1978,128
"Butte Creek",1979,10
"Butte Creek",1980,226
"Butte Creek",1981,250
"Butte Creek",1982,534
"Butte Creek",1983,50
"Butte Creek",1984,23
"Butte Creek",1985,254
"Butte Creek",1986,1371
"Butte Creek",1987,14
"Butte Creek",1988,1290
"Butte Creek",1989,1300
"Butte Creek",1990,250
"Butte Creek",1992,730
"Butte Creek",1993,650
"Butte Creek",1994,474
"Butte Creek",1995,7500
"Butte Creek",1996,1413
"Butte Creek",1997,635
"Butte Creek",1998,20259
"Butte Creek",1999,3679
"Butte Creek",2000,4118
"Butte Creek",2001,18670
"Butte Creek",2002,16409
"Butte Creek",2003,17404
"Butte Creek",2004,10558
"Butte Creek",2005,17592
"Butte Creek",2006,6537
"Butte Creek",2007,6871
"Butte Creek",2008,11046
"Butte Creek",2009,2687
"Butte Creek",2010,1991
"Butte Creek",2011,4871
"Butte Creek",2012,16317
"Butte Creek",2013,16782
"Butte Creek",2014,5083
"Butte Creek",2015,569
"Butte Creek",2016,5731
"Butte Creek",2017,515
"Butte Creek",2018,2362
"Butte Creek",2019,14863
