"PopID","Year","Total"
"Deer Creek",1970,2000
"Deer Creek",1971,1500
"Deer Creek",1972,400
"Deer Creek",1973,2000
"Deer Creek",1974,3500
"Deer Creek",1975,8500
"Deer Creek",1977,340
"Deer Creek",1978,1200
"Deer Creek",1980,1500
"Deer Creek",1982,1500
"Deer Creek",1983,500
"Deer Creek",1985,301
"Deer Creek",1986,543
"Deer Creek",1987,200
"Deer Creek",1988,371
"Deer Creek",1989,84
"Deer Creek",1990,496
"Deer Creek",1991,479
"Deer Creek",1992,209
"Deer Creek",1993,259
"Deer Creek",1994,485
"Deer Creek",1995,1295
"Deer Creek",1996,614
"Deer Creek",1997,466
"Deer Creek",1998,1879
"Deer Creek",1999,1591
"Deer Creek",2000,637
"Deer Creek",2001,1622
"Deer Creek",2002,2195
"Deer Creek",2003,2759
"Deer Creek",2004,804
"Deer Creek",2005,2239
"Deer Creek",2006,2432
"Deer Creek",2007,644
"Deer Creek",2008,140
"Deer Creek",2009,213
"Deer Creek",2010,262
"Deer Creek",2011,271
"Deer Creek",2012,734
"Deer Creek",2013,708
"Deer Creek",2014,830
"Deer Creek",2015,268
"Deer Creek",2016,331
"Deer Creek",2017,219
"Deer Creek",2018,159
"Deer Creek",2019,578
