Year,Month,Date,Flow
1996,10,10/1/1996,4722
1996,10,10/2/1996,4230
1996,10,10/3/1996,4486
1996,10,10/4/1996,4201
1996,10,10/5/1996,5087
1996,10,10/6/1996,5012
1996,10,10/7/1996,4057
1996,10,10/8/1996,4030
1996,10,10/9/1996,2578
1996,10,10/10/1996,3614
1996,10,10/11/1996,4137
1996,10,10/12/1996,4582
1996,10,10/13/1996,5568
1996,10,10/14/1996,3964
1996,10,10/15/1996,3936
1996,10,10/16/1996,3855
1996,10,10/17/1996,3430
1996,10,10/18/1996,3269
1996,10,10/19/1996,4319
1996,10,10/20/1996,4245
1996,10,10/21/1996,4529
1996,10,10/22/1996,3676
1996,10,10/23/1996,4920
1996,10,10/24/1996,3619
1996,10,10/25/1996,4138
1996,10,10/26/1996,5451
1996,10,10/27/1996,4353
1996,10,10/28/1996,3722
1996,10,10/29/1996,3491
1996,10,10/30/1996,12195
1996,10,10/31/1996,14422
1996,11,11/1/1996,15223
1996,11,11/2/1996,13487
1996,11,11/3/1996,13714
1996,11,11/4/1996,7600
1996,11,11/5/1996,5512
1996,11,11/6/1996,5455
1996,11,11/7/1996,4538
1996,11,11/8/1996,3949
1996,11,11/9/1996,3946
1996,11,11/10/1996,4189
1996,11,11/11/1996,4258
1996,11,11/12/1996,4240
1996,11,11/13/1996,5270
1996,11,11/14/1996,3953
1996,11,11/15/1996,4340
1996,11,11/16/1996,5155
1996,11,11/17/1996,8441
1996,11,11/18/1996,15400
1996,11,11/19/1996,16859
1996,11,11/20/1996,17805
1996,11,11/21/1996,17434
1996,11,11/22/1996,18495
1996,11,11/23/1996,16704
1996,11,11/24/1996,16004
1996,11,11/25/1996,15756
1996,11,11/26/1996,14714
1996,11,11/27/1996,10938
1996,11,11/28/1996,9531
1996,11,11/29/1996,9434
1996,11,11/30/1996,8719
1996,12,12/1/1996,7040
1996,12,12/2/1996,8676
1996,12,12/3/1996,8076
1996,12,12/4/1996,10937
1996,12,12/5/1996,20624
1996,12,12/6/1996,39985
1996,12,12/7/1996,42122
1996,12,12/8/1996,41194
1996,12,12/9/1996,39727
1996,12,12/10/1996,48869
1996,12,12/11/1996,63881
1996,12,12/12/1996,79498
1996,12,12/13/1996,102962
1996,12,12/14/1996,127545
1996,12,12/15/1996,125300
1996,12,12/16/1996,115048
1996,12,12/17/1996,109357
1996,12,12/18/1996,96515
1996,12,12/19/1996,86884
1996,12,12/20/1996,81038
1996,12,12/21/1996,84202
1996,12,12/22/1996,95407
1996,12,12/23/1996,110127
1996,12,12/24/1996,108874
1996,12,12/25/1996,104967
1996,12,12/26/1996,100975
1996,12,12/27/1996,105001
1996,12,12/28/1996,110175
1996,12,12/29/1996,139275
1996,12,12/30/1996,177331
1996,12,12/31/1996,225094
1997,1,1/1/1997,314657
1997,1,1/2/1997,557208
1997,1,1/3/1997,567086
1997,1,1/4/1997,560341
1997,1,1/5/1997,482525
1997,1,1/6/1997,388826
1997,1,1/7/1997,344379
1997,1,1/8/1997,299653
1997,1,1/9/1997,263041
1997,1,1/10/1997,239378
1997,1,1/11/1997,214141
1997,1,1/12/1997,185397
1997,1,1/13/1997,171004
1997,1,1/14/1997,163045
1997,1,1/15/1997,155093
1997,1,1/16/1997,150121
1997,1,1/17/1997,144306
1997,1,1/18/1997,137141
1997,1,1/19/1997,133123
1997,1,1/20/1997,129274
1997,1,1/21/1997,127496
1997,1,1/22/1997,139954
1997,1,1/23/1997,212323
1997,1,1/24/1997,223700
1997,1,1/25/1997,240309
1997,1,1/26/1997,281165
1997,1,1/27/1997,283009
1997,1,1/28/1997,267676
1997,1,1/29/1997,269037
1997,1,1/30/1997,254386
1997,1,1/31/1997,237512
1997,2,2/1/1997,216492
1997,2,2/2/1997,200509
1997,2,2/3/1997,189512
1997,2,2/4/1997,179082
1997,2,2/5/1997,170382
1997,2,2/6/1997,163282
1997,2,2/7/1997,158303
1997,2,2/8/1997,152272
1997,2,2/9/1997,144165
1997,2,2/10/1997,140022
1997,2,2/11/1997,134540
1997,2,2/12/1997,125534
