"PopID","Year","Total"
"Mill Creek",1970,1500
"Mill Creek",1971,1000
"Mill Creek",1972,500
"Mill Creek",1973,1700
"Mill Creek",1974,1500
"Mill Creek",1975,3500
"Mill Creek",1977,460
"Mill Creek",1978,925
"Mill Creek",1980,500
"Mill Creek",1982,700
"Mill Creek",1984,191
"Mill Creek",1985,121
"Mill Creek",1986,291
"Mill Creek",1987,90
"Mill Creek",1988,572
"Mill Creek",1989,563
"Mill Creek",1990,844
"Mill Creek",1991,319
"Mill Creek",1992,237
"Mill Creek",1993,61
"Mill Creek",1994,723
"Mill Creek",1995,320
"Mill Creek",1996,253
"Mill Creek",1997,202
"Mill Creek",1998,424
"Mill Creek",1999,560
"Mill Creek",2000,544
"Mill Creek",2001,1104
"Mill Creek",2002,1594
"Mill Creek",2003,1426
"Mill Creek",2004,998
"Mill Creek",2005,1150
"Mill Creek",2006,1002
"Mill Creek",2007,920
"Mill Creek",2008,381
"Mill Creek",2009,237
"Mill Creek",2010,482
"Mill Creek",2011,366
"Mill Creek",2012,768
"Mill Creek",2013,644
"Mill Creek",2014,679
"Mill Creek",2015,127
"Mill Creek",2016,175
"Mill Creek",2017,258
"Mill Creek",2018,152
"Mill Creek",2019,180
