sample,NatalExit_IncNum,FWExit_IncNum,NatalExit_OR,FWExit_OR,year,tributary,NatalExitFL,FWExitFL
BC07_01,NA,NA,599.2436975,683.0460624,2007,Butte Creek,91.60373104,106.121087
BC07_02,NA,NA,338.0176991,367.6840982,2007,Butte Creek,46.35070253,51.48990924
BC07_04,NA,NA,319.497307,353.6374408,2007,Butte Creek,43.14235482,49.05656113
BC07_06,NA,NA,373.7315436,417.8255034,2007,Butte Creek,52.53752786,60.17606778
BC07_07,NA,NA,365.3431116,407.6587678,2007,Butte Creek,51.08437252,58.41485114
BC07_08,NA,NA,389.4630872,445.0529248,2007,Butte Creek,55.26275428,64.89276247
BC07_09,NA,NA,492.9343629,546.1052632,2007,Butte Creek,73.18741958,82.3983874
BC07_10,NA,NA,452.8272251,499.5058366,2007,Butte Creek,66.23952978,74.32581731
BC07_11,NA,NA,549.8385469,617.2343096,2007,Butte Creek,83.04511628,94.72030324
BC07_12,NA,NA,455.4435858,475.7527048,2007,Butte Creek,66.69277043,70.21098511
BC07_13,NA,NA,516.3307985,571.7906574,2007,Butte Creek,77.24046013,86.84795171
BC07_14,NA,NA,530.76,581.080681,2007,Butte Creek,79.7400776,88.45729268
BC07_15,NA,NA,492.9482072,548.7764489,2007,Butte Creek,73.18981786,82.86112559
BC07_16,NA,NA,375,437.03125,2007,Butte Creek,52.75726668,63.50314168
BC07_17,NA,NA,481.8552036,522.7225131,2007,Butte Creek,71.26814081,78.34771763
BC07_18,NA,NA,421.0449927,472.3279649,2007,Butte Creek,60.73379039,69.61770629
BC07_19,NA,NA,486.1123348,530.9173004,2007,Butte Creek,72.00561748,79.76732726
BC07_23,NA,NA,396.5982405,484.8116254,2007,Butte Creek,56.49880006,71.78029137
BC07_24,NA,NA,503.2900433,558.170796,2007,Butte Creek,74.98136774,84.48853886
BC07_25,NA,NA,418.8461538,472.0838972,2007,Butte Creek,60.35287838,69.57542564
BC07_26,NA,NA,492.842725,549.6610169,2007,Butte Creek,73.17154484,83.01436218
BC07_27,NA,NA,512.3021148,557.3147341,2007,Butte Creek,76.54255817,84.34024047
BC07_28,NA,NA,450.414866,525.0516351,2007,Butte Creek,65.82162897,78.751199
BC07_29,NA,NA,543.3465459,591.0746606,2007,Butte Creek,81.92048584,90.18858225
BC07_37,NA,NA,556.426513,608.2519965,2007,Butte Creek,84.18637104,93.16426794
BC07_38,NA,NA,586.6717557,627,2007,Butte Creek,89.42585272,96.41204552
BC07_41,NA,NA,420.3179191,468.3921982,2007,Butte Creek,60.60783706,68.93590064
BC07_42,NA,NA,527.4,566.5238303,2007,Butte Creek,79.15801388,85.93556214
BC07_43,NA,NA,392.303263,450.1223491,2007,Butte Creek,55.75476715,65.77095531
BC07_44,NA,NA,424.7813411,483.378922,2007,Butte Creek,61.38105016,71.53209949
BC07_45,NA,NA,516.4553314,560.5538922,2007,Butte Creek,77.26203338,84.90137036
BC07_46,NA,NA,511.7865429,566.4673913,2007,Butte Creek,76.45324398,85.92578502
BC07_47,NA,NA,344.9032258,567.8750697,2007,Butte Creek,47.54350469,86.16964173
BC07_48,NA,NA,512.87373,578.8305489,2007,Butte Creek,76.64158094,88.06749499
BC07_49,NA,NA,512.3831776,578.5373925,2007,Butte Creek,76.55660094,88.01671054
BC07_50,NA,NA,461.6722408,507.6275939,2007,Butte Creek,67.77178058,75.73277573
BC08-01,NA,NA,393.1897762,502.6223707,2008,Butte Creek,55.90834071,74.86570464
BC08-02,NA,NA,494.9823427,576.686648,2008,Butte Creek,73.54219776,87.69610006
BC08-03,NA,NA,596.8324422,648.3382684,2008,Butte Creek,91.18602146,100.1085431
BC08-04,NA,NA,519.2035109,574.0852294,2008,Butte Creek,77.73810945,87.24544787
BC08-06,NA,NA,508.4684079,597.5115159,2008,Butte Creek,75.87843267,91.3036596
BC08-07,NA,NA,555.9871948,608.6858008,2008,Butte Creek,84.11026654,93.23941727
BC08-08,NA,NA,537.0588305,599.2593594,2008,Butte Creek,80.83124447,91.6064442
BC08-09,NA,NA,502.361668,551.7629475,2008,Butte Creek,74.82054228,83.37848644
BC08-10,NA,NA,490.7190026,561.5187977,2008,Butte Creek,72.80364551,85.06852408
BC08-11,NA,NA,415.8496344,582.7334862,2008,Butte Creek,59.83378157,88.7436135
BC08-12,NA,NA,641.8918379,684.8970977,2008,Butte Creek,98.99180699,106.4417479
BC08-13,NA,NA,730.0156543,768.3710606,2008,Butte Creek,114.257782,120.9022137
BC08-14,NA,NA,380.5828935,612.2450641,2008,Butte Creek,53.72440946,93.85600003
BC08-15,NA,NA,607.5347043,683.1775151,2008,Butte Creek,93.0400091,106.143859
BC08-16,NA,NA,539.1163158,594.3931635,2008,Butte Creek,81.18766934,90.76345728
BC08-17,NA,NA,576.8207,667.7729199,2008,Butte Creek,87.71932232,103.4752709
BC08-18,NA,NA,608.9898624,663.2456253,2008,Butte Creek,93.29209086,102.690993
BC08-19,NA,NA,533.0137667,588.7620611,2008,Butte Creek,80.13050493,89.78796311
BC08-20,NA,NA,578.4496319,627.6423223,2008,Butte Creek,88.0015075,96.52331709
BC08-21,NA,NA,411.6458664,539.0243765,2008,Butte Creek,59.10554919,81.17174239
BC08-22,NA,NA,619.0177943,700.148825,2008,Butte Creek,95.02926208,109.0838542
BC08-23,NA,NA,547.5396257,615.9427324,2008,Butte Creek,82.64686669,94.49655912
BC08-24,NA,NA,274.3175285,571.8396587,2008,Butte Creek,35.31571499,86.85644036
BC08-25,NA,NA,515.0870987,577.5880171,2008,Butte Creek,77.02500999,87.85224716
BC08-26,NA,NA,615.9396065,690.3751482,2008,Butte Creek,94.49601761,107.3907284
BC08-27,NA,NA,495.8296114,583.1230296,2008,Butte Creek,73.68897288,88.81109536
BC08-28,NA,NA,553.5916846,596.596055,2008,Butte Creek,83.69528452,91.14507134
BC08-29,NA,NA,515.2557108,579.1098035,2008,Butte Creek,77.0542192,88.11587116
BC08-30,NA,NA,564.4532653,622.1296005,2008,Butte Creek,85.57687143,95.56833039
BC08-31,NA,NA,436.4264362,495.9837133,2008,Butte Creek,63.39836782,73.71566845
BC08-33,NA,NA,510.8933909,558.6422719,2008,Butte Creek,76.29852036,84.57021416
