sample,FWExit_OR,FWExit_IncNum,year,watershed,NatalExit_OR,NatalExit_IncNum,reartype
DC07_01,510.3450303,NA,2007,Deer Creek,416.9769499,NA,Intermediate
DC07_02,519.0950462,97,2007,Deer Creek,399.0744279,57,Intermediate
DC07_06,458.7793865,NA,2007,Deer Creek,262.346,NA,Early
DC07_07,771.5958289,NA,2007,Deer Creek,697.4604303,NA,Late
DC07_08,731.7503881,NA,2007,Deer Creek,599.181,NA,Late
DC07_09,524.011948,71,2007,Deer Creek,456.6776152,54,Intermediate
DC07_11,532.4612544,NA,2007,Deer Creek,211.145,NA,Early
DC07_12,471.6652211,NA,2007,Deer Creek,381.6014382,NA,Intermediate
DC07_13,791.4956936,NA,2007,Deer Creek,678.9468084,NA,Late
DC07_14,572.4284113,NA,2007,Deer Creek,506.0861079,NA,Intermediate
DC07_15,626.4591551,NA,2007,Deer Creek,572.2415904,NA,Intermediate
DC07_16,588.853825,NA,2007,Deer Creek,470.0756281,NA,Intermediate
DC07_17,801.0801884,NA,2007,Deer Creek,723.9504502,NA,Late
DC08_04,716.0591265,195,2008,Deer Creek,666.7501544,176,Late
DC08_05,474.7702935,NA,2008,Deer Creek,372.7015606,NA,Intermediate
DC08_10,499.3920755,NA,2008,Deer Creek,404.2194045,NA,Intermediate
DC08_11,497.8726214,NA,2008,Deer Creek,409.5989333,NA,Intermediate
DC08_12,746.4,NA,2008,Deer Creek,615.9363586,NA,Late
DC08_13,584.6774384,NA,2008,Deer Creek,217.37,NA,Early
DC08_14,575.1907047,79,2008,Deer Creek,258.721,1,Early
DC08_23,525.7723439,NA,2008,Deer Creek,419.0470535,NA,Intermediate
DC08_24,588.6383448,NA,2008,Deer Creek,310.73,NA,Early
DC08_25,484.492375,NA,2008,Deer Creek,172.78,NA,Early
DC08_26,868.6866506,247,2008,Deer Creek,754.5961624,210,Late
DC08_27,520.5193829,86,2008,Deer Creek,457.5466732,68,Intermediate
DC14_68521,825.5710612,232,2014,Mill Creek,765.0267531,211,Late
DC18_18974,740.1453356,NA,2018,Deer Creek,727.8213183,NA,Late
DC18_18975,714.9546318,167,2018,Deer Creek,630.7552522,167,Late
DC18_18976,810.26713,NA,2018,Deer Creek,758.2466989,NA,Late
DC18_18977,813.8432192,305,2018,Deer Creek,717.8437104,260,Late
DC18_18978,747.18051,221,2018,Deer Creek,696.6825963,200,Late
DC18_18979,828.6185654,232,2018,Deer Creek,770.7091413,210,Late
DC18_18980,724.2445167,196,2018,Deer Creek,676.1996265,178,Late
DC18_18981,792.3040987,264,2018,Deer Creek,743.2141383,242,Late
