WY 2008,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2008,,,,,,,45.17,,,14.28,,
9/29/2008,,,,,,,45.17,,,14.23,,
9/28/2008,,,,,,,45.17,,,14.24,,
9/27/2008,,,,,,,45.17,,,14.46,,
9/26/2008,,,,,,,45.17,,,14.6,,
9/25/2008,,,,,,,45.17,,,14.73,,
9/24/2008,,,,,,,45.17,,,14.91,,
9/23/2008,,,,,,,45.17,,,14.98,,
9/22/2008,,,,,,,45.17,,,14.98,,
9/21/2008,,,,,,,45.17,,,15,,
9/20/2008,,,,,,,45.17,,,15.11,,
9/19/2008,,,,,,,45.17,,,15.28,,
9/18/2008,,,,,,,45.17,,,15.31,,
9/17/2008,,,,,,,45.17,,,15.28,,
9/16/2008,,,,,,,45.17,,,15.48,,
9/15/2008,,,,,,,45.17,,,15.55,,
9/14/2008,,,,,,,45.17,,,15.57,,
9/13/2008,,,,,,,45.17,,,15.67,,
9/12/2008,,,,,,,45.17,,,15.75,,
9/11/2008,,,,,,,45.17,,,15.78,,
9/10/2008,,,,,,,45.17,,,15.81,,
9/9/2008,,,,,,,45.17,,,15.79,,
9/8/2008,,,,,,,45.17,,,15.99,,
9/7/2008,,,,,,,45.17,,,16.22,,
9/6/2008,,,,,,,45.17,,,16.26,,
9/5/2008,,,,,,,45.17,,,16.03,,
9/4/2008,,,,,,,45.17,,,15.64,,
9/3/2008,,,,,,,45.17,,,15.77,,
9/2/2008,,,,,,,45.17,,,16.03,,
9/1/2008,,,,,,,45.17,,,16.29,,
8/31/2008,,,,,,,45.17,,,16.21,,
8/30/2008,,,,,,,45.17,,,16.16,,
8/29/2008,,,,,,,45.17,,,16.11,,
8/28/2008,,,,,,,45.17,,,15.94,,
8/27/2008,,,,,,,45.17,,,15.87,,
8/26/2008,,,,,,,45.17,,,15.84,,
8/25/2008,,,,,,,45.17,,,15.87,,
8/24/2008,,,,,,,45.17,,,15.96,,
8/23/2008,,,,,,,45.17,,,15.9,,
8/22/2008,,,,,,,45.17,,,15.94,,
8/21/2008,,,,,,,45.17,,,15.13,,
8/20/2008,,,,,,,45.17,,,14.65,,
8/19/2008,,,,,,,45.17,,,14.37,,
8/18/2008,,,,,,,45.17,,,14.42,,
8/17/2008,,,,,,,45.17,,,14.69,,
8/16/2008,,,,,,,45.17,,,14.47,,
8/15/2008,,,,,,,45.17,,,14.82,,
