"Date","Year","Month","Tributary","Area","Temp"
"January 1, 2004","2004",1,"Deer Creek","Lower",6.1
"February 1, 2004","2004",2,"Deer Creek","Lower",8.2
"March 1, 2004","2004",3,"Deer Creek","Lower",10.5
"April 1, 2004","2004",4,"Deer Creek","Lower",8.3
"May 1, 2004","2004",5,"Deer Creek","Lower",12.9
"June 1, 2004","2004",6,"Deer Creek","Lower",19
"July 1, 2004","2004",7,"Deer Creek","Lower",20.2
"August 1, 2004","2004",8,"Deer Creek","Lower",18.7
"September 1, 2004","2004",9,"Deer Creek","Lower",14.8
"October 1, 2004","2004",10,"Deer Creek","Lower",10.9
"November 1, 2004","2004",11,"Deer Creek","Lower",6.9
"December 1, 2004","2004",12,"Deer Creek","Lower",5.5
"January 1, 2005","2005",1,"Deer Creek","Lower",6
"February 1, 2005","2005",2,"Deer Creek","Lower",6.8
"March 1, 2005","2005",3,"Deer Creek","Lower",7.9
"April 1, 2005","2005",4,"Deer Creek","Lower",9.2
"May 1, 2005","2005",5,"Deer Creek","Lower",11.6
"June 1, 2005","2005",6,"Deer Creek","Lower",14.8
"July 1, 2005","2005",7,"Deer Creek","Lower",20.6
"August 1, 2005","2005",8,"Deer Creek","Lower",18.7
"September 1, 2005","2005",9,"Deer Creek","Lower",14.5
"October 1, 2005","2005",10,"Deer Creek","Lower",11
"November 1, 2005","2005",11,"Deer Creek","Lower",7.8
"December 1, 2005","2005",12,"Deer Creek","Lower",5.8
"January 1, 2006","2006",1,"Deer Creek","Lower",6.2
"February 1, 2006","2006",2,"Deer Creek","Lower",5.6
"March 1, 2006","2006",3,"Deer Creek","Lower",6.1
"April 1, 2006","2006",4,"Deer Creek","Lower",8.1
"May 1, 2006","2006",5,"Deer Creek","Lower",11.4
"June 1, 2006","2006",6,"Deer Creek","Lower",16.2
"July 1, 2006","2006",7,"Deer Creek","Lower",18.7
"August 1, 2006","2006",8,"Deer Creek","Lower",17
"September 1, 2006","2006",9,"Deer Creek","Lower",14.1
"October 1, 2006","2006",10,"Deer Creek","Lower",10
"November 1, 2006","2006",11,"Deer Creek","Lower",7.5
"December 1, 2006","2006",12,"Deer Creek","Lower",4.8
"January 1, 2007","2007",1,"Deer Creek","Lower",3.8
"February 1, 2007","2007",2,"Deer Creek","Lower",6.2
"March 1, 2007","2007",3,"Deer Creek","Lower",8.2
"April 1, 2007","2007",4,"Deer Creek","Lower",10.5
"May 1, 2007","2007",5,"Deer Creek","Lower",14.7
"June 1, 2007","2007",6,"Deer Creek","Lower",17.9
"July 1, 2007","2007",7,"Deer Creek","Lower",19.9
"August 1, 2007","2007",8,"Deer Creek","Lower",18.7
"September 1, 2007","2007",9,"Deer Creek","Lower",15
"October 1, 2007","2007",10,"Deer Creek","Lower",10.6
"November 1, 2007","2007",11,"Deer Creek","Lower",8.2
"December 1, 2007","2007",12,"Deer Creek","Lower",5
"January 1, 2008","2008",1,"Deer Creek","Lower",5
