"Date","Temp","Year","Month","Day","Tributary","Reach","Area"
2004-01-01,6.17,2004,1,1,"Mill Creek","Ranch","Lower"
2004-01-02,5.31,2004,1,2,"Mill Creek","Ranch","Lower"
2004-01-03,4.72,2004,1,3,"Mill Creek","Ranch","Lower"
2004-01-04,4.66,2004,1,4,"Mill Creek","Ranch","Lower"
2004-01-05,5,2004,1,5,"Mill Creek","Ranch","Lower"
2004-01-06,5.61,2004,1,6,"Mill Creek","Ranch","Lower"
2004-01-07,6.36,2004,1,7,"Mill Creek","Ranch","Lower"
2004-01-08,6.84,2004,1,8,"Mill Creek","Ranch","Lower"
2004-01-09,7.04,2004,1,9,"Mill Creek","Ranch","Lower"
2004-01-10,7.19,2004,1,10,"Mill Creek","Ranch","Lower"
2004-01-11,6.97,2004,1,11,"Mill Creek","Ranch","Lower"
2004-01-12,6.64,2004,1,12,"Mill Creek","Ranch","Lower"
2004-01-13,6.42,2004,1,13,"Mill Creek","Ranch","Lower"
2004-01-14,6.54,2004,1,14,"Mill Creek","Ranch","Lower"
2004-01-15,6.83,2004,1,15,"Mill Creek","Ranch","Lower"
2004-01-16,6.71,2004,1,16,"Mill Creek","Ranch","Lower"
2004-01-17,6.6,2004,1,17,"Mill Creek","Ranch","Lower"
2004-01-18,6.58,2004,1,18,"Mill Creek","Ranch","Lower"
2004-01-19,6.54,2004,1,19,"Mill Creek","Ranch","Lower"
2004-01-20,6.3,2004,1,20,"Mill Creek","Ranch","Lower"
2004-01-21,5.8,2004,1,21,"Mill Creek","Ranch","Lower"
2004-01-22,5.52,2004,1,22,"Mill Creek","Ranch","Lower"
2004-01-23,5.75,2004,1,23,"Mill Creek","Ranch","Lower"
2004-01-24,5.93,2004,1,24,"Mill Creek","Ranch","Lower"
2004-01-25,5.57,2004,1,25,"Mill Creek","Ranch","Lower"
2004-01-26,5.51,2004,1,26,"Mill Creek","Ranch","Lower"
2004-01-27,5.63,2004,1,27,"Mill Creek","Ranch","Lower"
