"Date","Year","Month","Day","Tributary","Area","Temp"
"2004-01-01",2004,1,1,"Butte Creek","Upper",6.16875
"2004-01-02",2004,1,2,"Butte Creek","Upper",5.579583333
"2004-01-03",2004,1,3,"Butte Creek","Upper",4.298333333
"2004-01-04",2004,1,4,"Butte Creek","Upper",4.109166667
"2004-01-05",2004,1,5,"Butte Creek","Upper",3.97
"2004-01-06",2004,1,6,"Butte Creek","Upper",4.480833333
"2004-01-07",2004,1,7,"Butte Creek","Upper",5.040833333
"2004-01-08",2004,1,8,"Butte Creek","Upper",5.740833333
"2004-01-09",2004,1,9,"Butte Creek","Upper",6.15625
"2004-01-10",2004,1,10,"Butte Creek","Upper",6.699583333
"2004-01-11",2004,1,11,"Butte Creek","Upper",6.49875
"2004-01-12",2004,1,12,"Butte Creek","Upper",6.136666667
"2004-01-13",2004,1,13,"Butte Creek","Upper",5.950416667
"2004-01-14",2004,1,14,"Butte Creek","Upper",5.807916667
"2004-01-15",2004,1,15,"Butte Creek","Upper",6.195416667
"2004-01-16",2004,1,16,"Butte Creek","Upper",5.749166667
"2004-01-17",2004,1,17,"Butte Creek","Upper",5.4625
"2004-01-18",2004,1,18,"Butte Creek","Upper",5.645
"2004-01-19",2004,1,19,"Butte Creek","Upper",5.470833333
"2004-01-20",2004,1,20,"Butte Creek","Upper",5.28625
"2004-01-21",2004,1,21,"Butte Creek","Upper",4.820416667
"2004-01-22",2004,1,22,"Butte Creek","Upper",4.406666667
"2004-01-23",2004,1,23,"Butte Creek","Upper",4.401666667
"2004-01-24",2004,1,24,"Butte Creek","Upper",5.255833333
"2004-01-25",2004,1,25,"Butte Creek","Upper",5.085
"2004-01-26",2004,1,26,"Butte Creek","Upper",4.279166667
"2004-01-27",2004,1,27,"Butte Creek","Upper",4.73375
"2004-01-28",2004,1,28,"Butte Creek","Upper",4.7875
"2004-01-29",2004,1,29,"Butte Creek","Upper",5.301666667
"2004-01-30",2004,1,30,"Butte Creek","Upper",5.845833333
"2004-01-31",2004,1,31,"Butte Creek","Upper",5.092916667
"2004-02-01",2004,2,1,"Butte Creek","Upper",4.656666667
"2004-02-02",2004,2,2,"Butte Creek","Upper",5.008333333
"2004-02-03",2004,2,3,"Butte Creek","Upper",5.009166667
"2004-02-04",2004,2,4,"Butte Creek","Upper",5.210416667
"2004-02-05",2004,2,5,"Butte Creek","Upper",5.091666667
"2004-02-06",2004,2,6,"Butte Creek","Upper",5.294166667
"2004-02-07",2004,2,7,"Butte Creek","Upper",5.034166667
"2004-02-08",2004,2,8,"Butte Creek","Upper",4.57875
"2004-02-09",2004,2,9,"Butte Creek","Upper",4.63125
"2004-02-10",2004,2,10,"Butte Creek","Upper",4.526666667
"2004-02-11",2004,2,11,"Butte Creek","Upper",4.715
"2004-02-12",2004,2,12,"Butte Creek","Upper",4.825416667
"2004-02-13",2004,2,13,"Butte Creek","Upper",4.937083333
"2004-02-14",2004,2,14,"Butte Creek","Upper",5.715
"2004-02-15",2004,2,15,"Butte Creek","Upper",6.246666667
"2004-02-16",2004,2,16,"Butte Creek","Upper",6.97125
"2004-02-17",2004,2,17,"Butte Creek","Upper",7.51375
"2004-02-18",2004,2,18,"Butte Creek","Upper",7.44125
"2004-02-19",2004,2,19,"Butte Creek","Upper",7.487083333
"2004-02-20",2004,2,20,"Butte Creek","Upper",7.487916667
"2004-02-21",2004,2,21,"Butte Creek","Upper",7.51875
"2004-02-22",2004,2,22,"Butte Creek","Upper",7.395833333
"2004-02-23",2004,2,23,"Butte Creek","Upper",7.443333333
"2004-02-24",2004,2,24,"Butte Creek","Upper",6.925833333
"2004-02-25",2004,2,25,"Butte Creek","Upper",7.31875
