"Date","Year","Month","Day","Tributary","Area","Temp"
2004-01-01,2004,1,1,"Deer Creek","Upper",3.6
2004-01-02,2004,1,2,"Deer Creek","Upper",3.59
2004-01-03,2004,1,3,"Deer Creek","Upper",3.48
2004-01-04,2004,1,4,"Deer Creek","Upper",3.33
2004-01-05,2004,1,5,"Deer Creek","Upper",3.25
2004-01-06,2004,1,6,"Deer Creek","Upper",3.31
2004-01-07,2004,1,7,"Deer Creek","Upper",3.68
2004-01-08,2004,1,8,"Deer Creek","Upper",4.16
2004-01-09,2004,1,9,"Deer Creek","Upper",4.43
2004-01-10,2004,1,10,"Deer Creek","Upper",4.57
2004-01-11,2004,1,11,"Deer Creek","Upper",4.46
2004-01-12,2004,1,12,"Deer Creek","Upper",4.18
2004-01-13,2004,1,13,"Deer Creek","Upper",3.98
2004-01-14,2004,1,14,"Deer Creek","Upper",3.91
2004-01-15,2004,1,15,"Deer Creek","Upper",4.12
2004-01-16,2004,1,16,"Deer Creek","Upper",4.22
2004-01-17,2004,1,17,"Deer Creek","Upper",4.13
2004-01-18,2004,1,18,"Deer Creek","Upper",4.15
2004-01-19,2004,1,19,"Deer Creek","Upper",4.12
2004-01-20,2004,1,20,"Deer Creek","Upper",3.97
2004-01-21,2004,1,21,"Deer Creek","Upper",3.66
2004-01-22,2004,1,22,"Deer Creek","Upper",3.35
2004-01-23,2004,1,23,"Deer Creek","Upper",3.4
2004-01-24,2004,1,24,"Deer Creek","Upper",3.55
2004-01-25,2004,1,25,"Deer Creek","Upper",3.42
2004-01-26,2004,1,26,"Deer Creek","Upper",3.36
2004-01-27,2004,1,27,"Deer Creek","Upper",3.39
2004-01-28,2004,1,28,"Deer Creek","Upper",3.38
2004-01-29,2004,1,29,"Deer Creek","Upper",3.69
2004-01-30,2004,1,30,"Deer Creek","Upper",3.96
2004-01-31,2004,1,31,"Deer Creek","Upper",3.81
2004-02-01,2004,2,1,"Deer Creek","Upper",3.7
2004-02-02,2004,2,2,"Deer Creek","Upper",3.78
2004-02-03,2004,2,3,"Deer Creek","Upper",3.87
2004-02-04,2004,2,4,"Deer Creek","Upper",3.78
2004-02-05,2004,2,5,"Deer Creek","Upper",3.69
2004-02-06,2004,2,6,"Deer Creek","Upper",3.73
2004-02-07,2004,2,7,"Deer Creek","Upper",3.66
2004-02-08,2004,2,8,"Deer Creek","Upper",3.54
2004-02-09,2004,2,9,"Deer Creek","Upper",3.54
2004-02-10,2004,2,10,"Deer Creek","Upper",3.61
2004-02-11,2004,2,11,"Deer Creek","Upper",3.65
2004-02-12,2004,2,12,"Deer Creek","Upper",3.77
2004-02-13,2004,2,13,"Deer Creek","Upper",3.94
2004-02-14,2004,2,14,"Deer Creek","Upper",4.32
2004-02-15,2004,2,15,"Deer Creek","Upper",4.8
2004-02-16,2004,2,16,"Deer Creek","Upper",5.28
2004-02-17,2004,2,17,"Deer Creek","Upper",5.43
2004-02-18,2004,2,18,"Deer Creek","Upper",4.9
2004-02-19,2004,2,19,"Deer Creek","Upper",4.48
2004-02-20,2004,2,20,"Deer Creek","Upper",4.44
2004-02-21,2004,2,21,"Deer Creek","Upper",4.46
2004-02-22,2004,2,22,"Deer Creek","Upper",4.51
2004-02-23,2004,2,23,"Deer Creek","Upper",4.7
2004-02-24,2004,2,24,"Deer Creek","Upper",4.87
2004-02-25,2004,2,25,"Deer Creek","Upper",4.91
2004-02-26,2004,2,26,"Deer Creek","Upper",4.63
2004-02-27,2004,2,27,"Deer Creek","Upper",4.31
2004-02-28,2004,2,28,"Deer Creek","Upper",4.32
2004-02-29,2004,2,29,"Deer Creek","Upper",4.54
2004-03-01,2004,3,1,"Deer Creek","Upper",4.56
2004-03-02,2004,3,2,"Deer Creek","Upper",4.39
2004-03-03,2004,3,3,"Deer Creek","Upper",4.31
2004-03-04,2004,3,4,"Deer Creek","Upper",4.42
2004-03-05,2004,3,5,"Deer Creek","Upper",4.74
2004-03-06,2004,3,6,"Deer Creek","Upper",5.22
2004-03-07,2004,3,7,"Deer Creek","Upper",5.76
2004-03-08,2004,3,8,"Deer Creek","Upper",6.08
2004-03-09,2004,3,9,"Deer Creek","Upper",6.27
2004-03-10,2004,3,10,"Deer Creek","Upper",6.13
2004-03-11,2004,3,11,"Deer Creek","Upper",5.88
2004-03-12,2004,3,12,"Deer Creek","Upper",5.83
2004-03-13,2004,3,13,"Deer Creek","Upper",5.89
2004-03-14,2004,3,14,"Deer Creek","Upper",5.97
2004-03-15,2004,3,15,"Deer Creek","Upper",5.97
2004-03-16,2004,3,16,"Deer Creek","Upper",5.93
2004-03-17,2004,3,17,"Deer Creek","Upper",5.93
2004-03-18,2004,3,18,"Deer Creek","Upper",6.09
2004-03-19,2004,3,19,"Deer Creek","Upper",6.13
2004-03-20,2004,3,20,"Deer Creek","Upper",5.97
2004-03-21,2004,3,21,"Deer Creek","Upper",6.1
2004-03-22,2004,3,22,"Deer Creek","Upper",6.37
2004-03-23,2004,3,23,"Deer Creek","Upper",6.41
2004-03-24,2004,3,24,"Deer Creek","Upper",6.23
2004-03-25,2004,3,25,"Deer Creek","Upper",5.56
2004-03-26,2004,3,26,"Deer Creek","Upper",4.87
2004-03-27,2004,3,27,"Deer Creek","Upper",5.06
2004-03-28,2004,3,28,"Deer Creek","Upper",5.81
2004-03-29,2004,3,29,"Deer Creek","Upper",6.39
2004-03-30,2004,3,30,"Deer Creek","Upper",6.25
2004-03-31,2004,3,31,"Deer Creek","Upper",5.94
2004-04-01,2004,4,1,"Deer Creek","Upper",5.84
2004-04-02,2004,4,2,"Deer Creek","Upper",5.94
2004-04-03,2004,4,3,"Deer Creek","Upper",6.4
2004-04-04,2004,4,4,"Deer Creek","Upper",6.65
2004-04-05,2004,4,5,"Deer Creek","Upper",6.6
2004-04-06,2004,4,6,"Deer Creek","Upper",6.6
2004-04-07,2004,4,7,"Deer Creek","Upper",6.75
2004-04-08,2004,4,8,"Deer Creek","Upper",7.08
2004-04-09,2004,4,9,"Deer Creek","Upper",7.39
2004-04-10,2004,4,10,"Deer Creek","Upper",7.49
2004-04-11,2004,4,11,"Deer Creek","Upper",7.53
2004-04-12,2004,4,12,"Deer Creek","Upper",7.55
2004-04-13,2004,4,13,"Deer Creek","Upper",7.32
